,Cities
0,busselton
1,ushuaia
2,mataura
3,thompson
4,kahului
5,rikitea
6,tabiauea
7,lebu
8,shingu
9,ostrovnoy
10,constitucion
11,laguna
12,buala
13,vaini
14,atuona
15,jamestown
16,dikson
17,castro
18,upernavik
19,yellowknife
20,hithadhoo
21,taolanaro
22,cape town
23,tres arroyos
24,cidreira
25,chuy
26,kaeo
27,nikolskoye
28,albany
29,butaritari
30,harper
31,muscat
32,seoul
33,avarua
34,luwuk
35,lucapa
36,qaanaaq
37,kilemary
38,bethel
39,kouroussa
40,henties bay
41,manadhoo
42,saskylakh
43,carnot
44,tarsus
45,puerto ayora
46,plymouth
47,belushya guba
48,buraydah
49,lorengau
50,new norfolk
51,rivadavia
52,capelinha
53,don benito
54,zhuanghe
55,oistins
56,ponta do sol
57,georgetown
58,tuktoyaktuk
59,lobito
60,cabo san lucas
61,kapaa
62,mackay
63,berlevag
64,longyearbyen
65,hermanus
66,arraial do cabo
67,dingle
68,khilok
69,asansol
70,tsihombe
71,izhma
72,saint-philippe
73,airai
74,marcona
75,te anau
76,paita
77,tuatapere
78,koilas
79,severnoye
80,sur
81,hobart
82,rawson
83,shiraz
84,beloha
85,tiksi
86,canico
87,yining
88,torbay
89,pinjaur
90,illoqqortoormiut
91,mys shmidta
92,kavaratti
93,ilulissat
94,labuan
95,palmer
96,pevek
97,chernyshevskiy
98,mae chan
99,port alfred
100,lompoc
101,ballina
102,qaqortoq
103,hasaki
104,bathsheba
105,doctor pedro p. pena
106,norman wells
107,pacific grove
108,vilhena
109,maxixe
110,richards bay
111,mikuni
112,barentsburg
113,acapulco
114,naryan-mar
115,touros
116,lebedinyy
117,narsaq
118,ancud
119,bambous virieux
120,san pedro
121,amderma
122,punta arenas
123,chokurdakh
124,crestview
125,klaksvik
126,bengkulu
127,lolua
128,alamos
129,hilo
130,tasiilaq
131,khatanga
132,saint george
133,clyde river
134,kruisfontein
135,lodja
136,burnie
137,souillac
138,matagami
139,egvekinot
140,manzhouli
141,staraya poltavka
142,solnechnyy
143,senanga
144,colesberg
145,victoria
146,port blair
147,kudahuvadhoo
148,tampere
