,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,100,AU,"Jun 05, 2019",16,-33.64,115.35,66.0,37.92
1,Ushuaia,0,AR,"Jun 05, 2019",75,-54.81,-68.31,41.0,8.39
2,Mataura,87,NZ,"Jun 05, 2019",83,-46.19,168.86,41.0,9.91
3,Thompson,75,CA,"Jun 05, 2019",67,55.74,-97.86,59.0,2.24
4,Kahului,40,US,"Jun 05, 2019",43,20.89,-156.47,91.4,13.87
5,Rikitea,100,PF,"Jun 05, 2019",84,-23.12,-134.97,76.91,13.04
6,Lebu,20,ET,"Jun 05, 2019",72,8.96,38.73,59.0,4.7
7,Shingu,0,JP,"Jun 05, 2019",78,33.72,135.99,75.2,6.93
8,Ostrovnoy,0,RU,"Jun 05, 2019",83,68.05,39.51,38.75,4.36
9,Constitucion,75,MX,"Jun 05, 2019",12,23.99,-104.67,86.0,18.97
10,Laguna,20,MX,"Jun 05, 2019",43,27.52,-110.01,89.6,9.17
11,Buala,94,SB,"Jun 05, 2019",79,-8.15,159.59,84.29,11.65
12,Vaini,92,IN,"Jun 05, 2019",87,15.34,74.49,80.33,1.68
13,Atuona,26,PF,"Jun 05, 2019",76,-9.8,-139.03,82.49,18.68
14,Jamestown,0,AU,"Jun 05, 2019",67,-33.21,138.6,48.47,4.52
15,Dikson,0,RU,"Jun 05, 2019",91,73.51,80.55,31.19,2.44
16,Castro,90,CL,"Jun 05, 2019",100,-42.48,-73.76,48.2,16.11
17,Upernavik,100,GL,"Jun 05, 2019",73,72.79,-56.15,40.91,2.33
18,Yellowknife,75,CA,"Jun 05, 2019",50,62.45,-114.38,51.8,14.99
19,Hithadhoo,46,MV,"Jun 05, 2019",79,-0.6,73.08,83.93,12.5
20,Cape Town,40,ZA,"Jun 05, 2019",87,-33.93,18.42,55.0,3.36
21,Tres Arroyos,100,AR,"Jun 05, 2019",87,-38.38,-60.28,55.31,8.1
22,Cidreira,9,BR,"Jun 05, 2019",77,-30.17,-50.22,64.85,14.16
23,Chuy,96,UY,"Jun 05, 2019",72,-33.69,-53.46,64.49,18.12
24,Kaeo,3,NZ,"Jun 05, 2019",98,-35.1,173.78,62.01,16.02
25,Nikolskoye,0,RU,"Jun 05, 2019",72,59.7,30.79,62.6,1.01
26,Albany,90,US,"Jun 05, 2019",73,42.65,-73.75,75.2,4.7
27,Butaritari,46,KI,"Jun 05, 2019",79,3.07,172.79,85.19,16.24
28,Harper,1,US,"Jun 05, 2019",46,30.3,-99.24,91.4,5.17
29,Muscat,0,OM,"Jun 05, 2019",84,23.6,58.55,89.6,3.36
30,Seoul,40,KR,"Jun 05, 2019",82,37.57,126.98,71.6,2.24
31,Avarua,4,CK,"Jun 05, 2019",69,-21.21,-159.78,77.0,12.75
32,Luwuk,100,ID,"Jun 05, 2019",99,-0.95,122.79,66.83,5.01
33,Lucapa,15,AO,"Jun 05, 2019",42,-8.42,20.74,64.13,3.6
34,Qaanaaq,96,GL,"Jun 05, 2019",78,77.48,-69.36,27.05,1.19
35,Kilemary,42,RU,"Jun 05, 2019",84,56.78,46.86,56.03,7.2
36,Bethel,40,US,"Jun 05, 2019",62,60.79,-161.76,57.2,10.29
37,Kouroussa,93,GN,"Jun 05, 2019",82,10.65,-9.88,77.81,6.8
38,Henties Bay,0,NA,"Jun 05, 2019",97,-22.12,14.28,54.0,5.01
39,Manadhoo,100,MV,"Jun 05, 2019",74,5.77,73.38,84.11,15.95
40,Saskylakh,0,RU,"Jun 05, 2019",42,71.97,114.09,45.95,8.34
41,Carnot,100,CF,"Jun 05, 2019",98,4.94,15.87,69.71,4.27
42,Tarsus,0,TR,"Jun 05, 2019",88,36.92,34.88,70.0,2.24
43,Puerto Ayora,20,EC,"Jun 05, 2019",61,-0.74,-90.35,80.6,16.11
44,Plymouth,20,GB,"Jun 05, 2019",87,50.37,-4.14,51.01,3.36
45,Buraydah,0,SA,"Jun 05, 2019",21,26.33,43.97,84.2,3.36
46,Lorengau,98,PG,"Jun 05, 2019",71,-2.02,147.27,85.55,5.79
47,New Norfolk,75,AU,"Jun 05, 2019",62,-42.78,147.06,57.99,6.62
48,Rivadavia,0,AR,"Jun 05, 2019",10,-31.53,-68.59,55.31,4.72
49,Capelinha,14,BR,"Jun 05, 2019",70,-17.69,-42.52,61.79,5.37
50,Don Benito,0,ES,"Jun 05, 2019",51,38.95,-5.86,57.99,4.0
51,Zhuanghe,100,CN,"Jun 05, 2019",87,39.7,122.97,64.67,3.89
52,Oistins,20,BB,"Jun 05, 2019",74,13.07,-59.53,82.4,13.87
53,Ponta do Sol,0,BR,"Jun 05, 2019",90,-20.63,-46.0,53.87,5.17
